glamis 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
concessions 7, 1, 1, 1, 2, 1, 0, 1, 4, 1
carlstadt 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
compuscan 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
nasouli 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
yellow 0, 6, 2, 1, 6, 0, 0, 0, 0, 3
degussa 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
unsworth 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
rocketing 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
woods 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
cherrin 0, 0, 0, 0, 0, 4, 1, 0, 0, 0
obispo 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
hanging 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
cyprus 1, 2, 2, 1, 3, 0, 0, 2, 0, 2
papandreou 0, 0, 4, 0, 0, 0, 0, 4, 0, 0
sevens 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
midafternoon 1, 0, 0, 1, 0, 1, 0, 0, 0, 0
tweedel 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
granting 6, 0, 0, 1, 0, 1, 0, 0, 0, 0
eligible 2, 5, 0, 0, 15, 0, 0, 1, 2, 7
electricity 0, 0, 3, 3, 1, 0, 0, 0, 0, 0
aileen 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
swelled 1, 0, 0, 1, 0, 0, 0, 0, 2, 0
unanswered 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
itaqui 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
refunding 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
electricite 1, 0, 0, 1, 0, 1, 1, 0, 0, 0
hermann 0, 0, 0, 2, 0, 1, 1, 0, 0, 0
lord 0, 0, 3, 3, 0, 0, 2, 5, 1, 0
thomasville 1, 0, 0, 5, 0, 0, 0, 0, 0, 0
meadows 3, 0, 0, 3, 0, 0, 0, 0, 0, 0
dela 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
passsengers 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
digit 1, 0, 0, 2, 0, 0, 0, 0, 0, 0
organisation 6, 1, 11, 2, 3, 0, 4, 4, 14, 1
treasuries 0, 0, 0, 0, 0, 0, 4, 0, 0, 0
rational 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
propane 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
saskatchewan 2, 0, 1, 1, 0, 0, 0, 0, 1, 0
regional 20, 0, 6, 8, 1, 3, 3, 0, 0, 0
sufficient 9, 1, 1, 8, 3, 5, 3, 1, 2, 0
trojan 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
stipulate 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
heublein 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
screaming 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
soba 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tcby 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
differentiated 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
internally 2, 0, 1, 2, 0, 0, 0, 0, 0, 0
settelment 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
wooden 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
synergy 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
dulbin 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
wednesday 11, 0, 7, 2, 3, 13, 16, 9, 4, 0
dw 0, 0, 0, 0, 2, 0, 0, 6, 0, 1
piling 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
persisted 0, 1, 0, 0, 1, 0, 1, 0, 0, 0
specialties 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
plocek 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
ambrit 2, 0, 0, 2, 0, 0, 0, 0, 0, 0
path 1, 0, 1, 0, 0, 1, 3, 1, 1, 0
highveld 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
reliable 0, 1, 0, 2, 1, 0, 0, 0, 0, 0
asian 3, 0, 6, 1, 2, 0, 7, 0, 11, 1
charter 9, 0, 0, 5, 0, 0, 0, 3, 0, 0
sturm 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
fecs 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
duffour 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tired 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
miller 2, 0, 3, 3, 3, 1, 5, 1, 8, 2
roslyn 1, 0, 0, 2, 0, 0, 0, 0, 0, 0
bacon 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
frederick 0, 0, 0, 5, 0, 0, 0, 0, 0, 0
voutilainen 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
millet 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
feasibility 4, 0, 1, 1, 0, 0, 0, 0, 0, 0
leases 3, 0, 5, 3, 0, 0, 0, 1, 0, 0
conseco 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
